segment,covariate,lineage,celltype,analysis_type,n_categories_tested,categories_tested,n_samples,n_donors,n_datasets,omega_squared,kruskal_p_value,highest_median_pct_category,highest_median_within_lineage_pct,lowest_median_pct_category,lowest_median_within_lineage_pct,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,spearman_age_rho,spearman_age_p_value,kruskal_fdr_within_segment_covariate,spearman_age_fdr_within_segment_covariate
duodenum,sample_collection_method,epithelial,EEC Progenitors,descriptive,2,biopsy | surgical resection,6,5,3,0.0,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,EEC S,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Enterocyte Progenitors,descriptive,2,biopsy | surgical resection,6,5,3,0.0,,surgical resection,1.6666666666666667,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Enteroendocrine Cells (EEC),descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Epithelial,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Foveolar Cells,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Goblet Cells,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Intestinal Stem Cells (ISC),descriptive,2,biopsy | surgical resection,6,5,3,0.0,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Lower Crypt Colonocytes,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Lower Villus Enterocytes,descriptive,2,biopsy | surgical resection,6,5,3,0.04960429677178584,,surgical resection,11.76470588235294,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Mature Goblet Cells,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Microfold Cells (M Cells),descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Mid Crypt Colonocytes,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Mid Villus Enterocytes,descriptive,2,biopsy | surgical resection,6,5,3,0.03205277554216685,,surgical resection,7.5,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Paneth Cells,descriptive,2,biopsy | surgical resection,6,5,3,0.0,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Secretory Progenitors,descriptive,2,biopsy | surgical resection,6,5,3,0.029525010379662722,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Transiently Amplifying Cells (TA),descriptive,2,biopsy | surgical resection,6,5,3,0.0,,surgical resection,0.9803921568627451,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Tuft Cells,descriptive,2,biopsy | surgical resection,6,5,3,0.0,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Tuft Progenitors,descriptive,2,biopsy | surgical resection,6,5,3,0.8177604560517107,,biopsy,100.0,surgical resection,0.0,0,0,False,,,,
duodenum,sample_collection_method,epithelial,Villus Tip Enterocytes,descriptive,2,biopsy | surgical resection,6,5,3,0.0,,biopsy,0.0,biopsy,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,BEST4 Colonocytes,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,BEST4 Enterocytes,descriptive,2,v104 | v98,6,5,3,0.26023042053801143,,v104,2.5,v98,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Brunners Gland Cells,descriptive,2,v104 | v98,6,5,3,0.07060969073051226,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Colonocyte Progenitors,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,Crypt Top Colonocytes,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,EEC Enterochromaffin (EC),descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,EEC L,descriptive,2,v104 | v98,6,5,3,0.25477954228040817,,v104,1.6666666666666667,v98,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,EEC N,descriptive,2,v104 | v98,6,5,3,0.17483738427429654,,v104,0.8333333333333334,v98,0.0,0,0,False,,,,
duodenum,gene_annotation_version,epithelial,EEC Progenitors,descriptive,2,v104 | v98,6,5,3,0.0,,v104,0.0,v104,0.0,0,0,False,,,,
