segment,covariate,category,lineage,celltype,n_samples,n_donors,n_datasets,total_cells,n_samples_present,mean_cells_per_sample,median_cells_per_sample,mean_clr,median_clr,q1_clr,q3_clr,mean_within_lineage_pct,median_within_lineage_pct,q1_within_lineage_pct,q3_within_lineage_pct,present_sample_fraction
ileum,radial_tissue_term,EPI,epithelial,Microfold Cells (M Cells),8,8,1,0.0,0,0.0,0.0,-0.28630735875498226,-0.2927766858191603,-0.4705773582553653,-0.10058986952713178,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,epithelial,Mid Crypt Colonocytes,8,8,1,0.0,0,0.0,0.0,-0.28630735875498226,-0.2927766858191603,-0.4705773582553653,-0.10058986952713178,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,epithelial,Mid Villus Enterocytes,8,8,1,22.0,5,2.75,2.0,1.0584969730161717,1.3313786452393384,-0.043797096236056654,1.7768148929463923,13.387485676088618,10.084033613445378,0.0,18.323863636363637,0.625
ileum,radial_tissue_term,EPI,epithelial,Paneth Cells,8,8,1,0.0,0,0.0,0.0,-0.28630735875498226,-0.2927766858191603,-0.4705773582553653,-0.10058986952713178,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,epithelial,Secretory Progenitors,8,8,1,4.0,3,0.5,0.0,0.18952545246630775,-0.048358039305396394,-0.12231856020034959,0.637658489953539,1.650114591291062,0.0,0.0,3.342245989304813,0.375
ileum,radial_tissue_term,EPI,epithelial,Transiently Amplifying Cells (TA),8,8,1,17.0,2,2.125,0.0,0.34412078085992365,-0.08621988816611315,-0.2185856869780537,0.2560443206204117,6.4935064935064934,0.0,0.0,2.272727272727273,0.25
ileum,radial_tissue_term,EPI,epithelial,Tuft Cells,8,8,1,2.0,1,0.25,0.0,-0.08512761970071969,-0.12967726951254877,-0.4477570552391058,-0.052918982374736134,0.5208333333333333,0.0,0.0,0.0,0.125
ileum,radial_tissue_term,EPI,epithelial,Tuft Progenitors,8,8,1,2.0,2,0.25,0.0,-0.011654286587954865,-0.08621988816611315,-0.22820924651884844,0.12833791467891398,0.9358288770053477,0.0,0.0,0.7352941176470588,0.25
ileum,radial_tissue_term,EPI,epithelial,Villus Tip Enterocytes,8,8,1,69.0,5,8.625,2.5,1.5305353993897695,1.4864180200744803,-0.043797096236056654,2.7112549467787295,28.065277247262543,19.675324675324674,0.0,53.645833333333336,0.625
ileum,radial_tissue_term,EPI,lymphoid,CD4 Memory,5,5,1,1.0,1,0.2,0.0,-0.26605140145726464,-0.2795738510843746,-0.43783786233257516,-0.1789984750060607,0.37037037037037035,0.0,0.0,0.0,0.2
ileum,radial_tissue_term,EPI,lymphoid,CD4 Naive,5,5,1,3.0,1,0.6,0.0,-0.09659182937982394,-0.2795738510843746,-0.43783786233257516,-0.1789984750060607,1.1111111111111112,0.0,0.0,0.0,0.2
ileum,radial_tissue_term,EPI,lymphoid,CD4 Tfh,5,5,1,2.0,1,0.4,0.0,-0.16388627670406652,-0.2795738510843746,-0.43783786233257516,-0.1789984750060607,0.7407407407407407,0.0,0.0,0.0,0.2
ileum,radial_tissue_term,EPI,lymphoid,CD4 Tfr,5,5,1,0.0,0,0.0,0.0,-0.48577385919088656,-0.43783786233257516,-0.4559173866131072,-0.2795738510843746,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,lymphoid,CD4 Th17,5,5,1,2.0,2,0.4,0.0,-0.0463289437236428,-0.1789984750060607,-0.2795738510843746,0.022070567749794545,0.8966861598440545,0.0,0.0,1.8518518518518516,0.4
ileum,radial_tissue_term,EPI,lymphoid,CD4 Tr1,5,5,1,3.0,1,0.6,0.0,-0.09659182937982394,-0.2795738510843746,-0.43783786233257516,-0.1789984750060607,1.1111111111111112,0.0,0.0,0.0,0.2
ileum,radial_tissue_term,EPI,lymphoid,CD4 pTreg,5,5,1,1.0,1,0.2,0.0,-0.26605140145726464,-0.2795738510843746,-0.4559173866131072,-0.1789984750060607,0.7692307692307693,0.0,0.0,0.0,0.2
ileum,radial_tissue_term,EPI,lymphoid,CD4 tTreg,5,5,1,0.0,0,0.0,0.0,-0.48577385919088656,-0.43783786233257516,-0.4559173866131072,-0.2795738510843746,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,lymphoid,CD8 Circulating Effector Memory,5,5,1,4.0,1,0.8,0.0,-0.04632894372364271,-0.2795738510843746,-0.43783786233257516,-0.1789984750060607,1.4814814814814814,0.0,0.0,0.0,0.2
ileum,radial_tissue_term,EPI,lymphoid,CD8 Effector Memory,5,5,1,0.0,0,0.0,0.0,-0.48577385919088656,-0.43783786233257516,-0.4559173866131072,-0.2795738510843746,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,lymphoid,CD8 IEL,5,5,1,27.0,4,5.4,3.0,1.477975405625321,1.5080722867227383,1.329864061349726,2.762958438255093,26.890148448043185,11.538461538461538,8.0,31.57894736842105,0.8
ileum,radial_tissue_term,EPI,lymphoid,CD8 Memory Exhausted,5,5,1,0.0,0,0.0,0.0,-0.48577385919088656,-0.43783786233257516,-0.4559173866131072,-0.2795738510843746,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,lymphoid,CD8 Naive,5,5,1,3.0,1,0.6,0.0,-0.09659182937982394,-0.2795738510843746,-0.43783786233257516,-0.1789984750060607,1.1111111111111112,0.0,0.0,0.0,0.2
ileum,radial_tissue_term,EPI,lymphoid,CD8 TRM,5,5,1,34.0,5,6.8,3.0,1.8777559414644855,1.6663362979709384,1.4304394374280398,2.762958438255093,24.32832508621982,16.666666666666664,12.0,31.57894736842105,1.0
ileum,radial_tissue_term,EPI,lymphoid,GC B Dark Zone (GC B DZ),5,5,1,7.0,1,1.4,0.0,0.055836181029555475,-0.2795738510843746,-0.43783786233257516,-0.1789984750060607,2.5925925925925926,0.0,0.0,0.0,0.2
ileum,radial_tissue_term,EPI,lymphoid,GC B Light Zone (GC B LZ),5,5,1,6.0,2,1.2,0.0,0.21352765310240943,-0.1789984750060607,-0.2795738510843746,0.6607744263355344,2.6210826210826212,0.0,0.0,3.8461538461538463,0.4
ileum,radial_tissue_term,EPI,lymphoid,Gamma Delta T Cells,5,5,1,0.0,0,0.0,0.0,-0.48577385919088656,-0.43783786233257516,-0.4559173866131072,-0.2795738510843746,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,lymphoid,ILC3,5,5,1,0.0,0,0.0,0.0,-0.48577385919088656,-0.43783786233257516,-0.4559173866131072,-0.2795738510843746,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,lymphoid,MAIT Cells,5,5,1,0.0,0,0.0,0.0,-0.48577385919088656,-0.43783786233257516,-0.4559173866131072,-0.2795738510843746,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,lymphoid,Memory B,5,5,1,10.0,1,2.0,0.0,0.12313062835379802,-0.2795738510843746,-0.43783786233257516,-0.1789984750060607,3.7037037037037037,0.0,0.0,0.0,0.2
ileum,radial_tissue_term,EPI,lymphoid,NK Cells,5,5,1,7.0,3,1.4,1.0,0.4952810964967992,0.532896191515785,-0.1789984750060607,0.6426949020550019,4.343979607137502,2.631578947368421,0.0,3.7037037037037033,0.6
ileum,radial_tissue_term,EPI,lymphoid,NKT Cells,5,5,1,37.0,4,7.4,3.0,1.6117853314214976,1.171600050101525,0.869368428136998,2.762958438255093,24.96536212325686,7.6923076923076925,5.555555555555555,31.57894736842105,0.8
ileum,radial_tissue_term,EPI,lymphoid,Naive B,5,5,1,8.0,1,1.6,0.0,0.08086880962035661,-0.2795738510843746,-0.43783786233257516,-0.1789984750060607,2.962962962962963,0.0,0.0,0.0,0.2
ileum,radial_tissue_term,EPI,lymphoid,Plasma Cells,5,5,1,0.0,0,0.0,0.0,-0.48577385919088656,-0.43783786233257516,-0.4559173866131072,-0.2795738510843746,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,lymphoid,Plasma IGA,5,5,1,0.0,0,0.0,0.0,-0.48577385919088656,-0.43783786233257516,-0.4559173866131072,-0.2795738510843746,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,lymphoid,Plasma IGG,5,5,1,0.0,0,0.0,0.0,-0.48577385919088656,-0.43783786233257516,-0.4559173866131072,-0.2795738510843746,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,Classical Monocytes,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,Cycling Macrophages,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,Eosinophils,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,Follicle Associated Resident Macrophages,2,2,1,3.0,2,1.5,1.5,1.2693985317666607,1.2693985317666607,1.1496737761965066,1.3891232873368147,100.0,100.0,100.0,100.0,1.0
ileum,radial_tissue_term,EPI,myeloid,Homeostatic Macrophages,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,M0 Macrophages,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,Mast Cells,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,Monocyte Derived Dendritic Cells (MO DC),2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,Neutrophils,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,Nonclassical Monocytes,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,Perivascular Resident Macrophages,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,Tolerogenic cDC2,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,cDC1,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,cDC2,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
ileum,radial_tissue_term,EPI,myeloid,migDC,2,2,1,0.0,0,0.0,0.0,-0.08462656878444452,-0.08462656878444452,-0.09260821915578799,-0.07664491841310106,0.0,0.0,0.0,0.0,0.0
