segment,covariate,lineage,celltype,analysis_type,n_categories_tested,categories_tested,n_samples,n_donors,n_datasets,omega_squared,kruskal_p_value,highest_median_pct_category,highest_median_within_lineage_pct,lowest_median_pct_category,lowest_median_within_lineage_pct,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,spearman_age_rho,spearman_age_p_value,kruskal_fdr_within_segment_covariate,spearman_age_fdr_within_segment_covariate
colon,age_range,epithelial,EEC Enterochromaffin (EC),inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.11348349467648594,0.026760077973414488,40-49,0.2173818245246817,0-9,0.0,11,3,True,-0.0818384403994326,0.3975593060760877,0.057790627583957886,0.5338653538736035
colon,age_range,epithelial,EEC L,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.0,0.5129254856214418,40-49,0.23390894819466249,0-9,0.0,11,3,True,-0.04651378286014611,0.6310285797869677,0.5606394842839015,0.7146588734936743
colon,age_range,epithelial,EEC N,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.013190884010409768,0.24321426061397497,0-9,0.0,0-9,0.0,11,3,True,0.005936125433382367,0.951151348439487,0.3175297291349118,0.961378782293675
colon,age_range,epithelial,EEC Progenitors,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.05880163888396538,0.021092796212045628,10-19,0.40597727405845485,0-9,0.0,11,3,True,-0.209766654699484,0.028582500446606672,0.052540496488519634,0.06716887604952568
colon,age_range,epithelial,EEC S,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.05376827550168706,0.07364808298729104,0-9,0.0,0-9,0.0,11,3,True,-0.04726286535531103,0.6255336297911108,0.12820221853343255,0.7146588734936743
colon,age_range,epithelial,Enterocyte Progenitors,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.22506296924186092,0.00014853840963411567,10-19,0.9988438429900874,20-29,0.0,11,3,True,-0.38044351314329167,4.490031028772898e-05,0.0024255839163432108,0.0007459531960702376
colon,age_range,epithelial,Enteroendocrine Cells (EEC),inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.04442298677267003,0.08755339512805489,0-9,0.0,0-9,0.0,11,3,True,-0.05944134491506771,0.539232199569339,0.14438630073749403,0.6846676648402895
colon,age_range,epithelial,Epithelial,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.0,0.8169587125371515,0-9,0.0,0-9,0.0,11,3,True,-0.02717426309503928,0.7791026602966544,0.8532679886499137,0.8515773263707618
colon,age_range,epithelial,Foveolar Cells,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.03990246212227719,0.08916997483269727,0-9,0.0,0-9,0.0,11,3,True,-0.05042879891978162,0.6025382969207158,0.14451685576333695,0.7146588734936743
colon,age_range,epithelial,Goblet Cells,inferential,7,0-9 | 10-19 | 20-29 | 30-39 | 40-49 | 50-59 | 60-69,109,61,12,0.20336700358877247,0.00048693148846793913,30-39,11.594202898550725,10-19,0.38448312741824997,11,3,True,0.2977148455916688,0.0016664755242808442,0.004577155991598628,0.007832434964119967
