annotation_group,annotation_column,annotation_level,level_order,hgca_celltype_v1,n_samples,mean_clr,row_z
Tissue,tissue_level_1,jejunum,1,Capillary Endothelial,45,-0.8094920258660464,-1.388608778795303
Tissue,tissue_level_1,jejunum,1,Post Arteriole Capillary Endothelial (PAC),45,-0.7073782514186111,-1.3384912154776534
Tissue,tissue_level_1,jejunum,1,Pre Venule Capillary Endothelial (PVC),45,-0.8094920258660464,-0.5696570970608109
Tissue,tissue_level_1,jejunum,1,Venular Endothelial,45,-0.5836724167357581,-1.8896093323680518
Tissue,tissue_level_1,jejunum,1,Lymphatic Endothelial,45,-0.5695809646272713,-0.5257611973846467
Tissue,tissue_level_1,jejunum,1,Medullary Sinus Endothelial,45,-0.7221181229166169,-0.7154522437801966
Tissue,tissue_level_1,jejunum,1,Crypt Top Fibroblasts (S2B),45,-0.8094920258660464,-1.1256361581179326
Tissue,tissue_level_1,jejunum,1,Crypt Bottom Fibroblasts (S2A),45,-0.8094920258660464,-0.995648861340142
Tissue,tissue_level_1,jejunum,1,Lamina propria Fibroblasts (S1),45,-0.7850784194511996,-1.2479376888173697
Tissue,tissue_level_1,jejunum,1,Submucosal Fibroblasts (S3),45,-0.5312455504675527,-0.47669253839852516
Tissue,tissue_level_1,jejunum,1,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),45,-0.8094920258660464,-0.1111947024689703
Tissue,tissue_level_1,jejunum,1,Fibroblastic Reticular Cells (FRC),45,-0.8094920258660464,-0.010186049345560793
Tissue,tissue_level_1,jejunum,1,Marginal Reticular Cells (MRC),45,-0.8094920258660464,-0.13371818757364334
Tissue,tissue_level_1,jejunum,1,Follicular Dendritic Cells (fDC),45,-0.8094920258660464,0.12870422160549286
Tissue,tissue_level_1,jejunum,1,Muscularis Propria Fibroblasts,45,-0.8094920258660464,-0.6519138081797551
Tissue,tissue_level_1,jejunum,1,Myofibroblasts,45,-0.8094920258660464,-1.1058807206308545
Tissue,tissue_level_1,jejunum,1,Interstitial Cells of Cajal (ICC),45,-0.8094920258660464,0.22361050633854723
Tissue,tissue_level_1,jejunum,1,Angiogenic Pericytes,45,-0.8094920258660464,-1.4573542870766505
Tissue,tissue_level_1,jejunum,1,Contractile Pericytes,45,-0.6503793768083547,-0.9014261117311277
Tissue,tissue_level_1,jejunum,1,Secretory Pericytes,45,-0.8094920258660464,-0.1850427835921778
Tissue,tissue_level_1,jejunum,1,Glia,45,-0.8094920258660464,-1.1853767586612005
Tissue,tissue_level_1,jejunum,1,Smooth Muscle Cells (SMC),45,-0.7850784194511996,-0.3250792979011488
Tissue,tissue_level_1,jejunum,1,Adipocytes,45,-0.8094920258660464,-0.47139585995550376
Tissue,tissue_level_1,jejunum,1,Plasma Cells,45,0.8103927941001768,0.3404209168314637
Tissue,tissue_level_1,jejunum,1,Plasma IGA,45,1.284855857939477,0.25616759222771834
Tissue,tissue_level_1,jejunum,1,Plasma IGG,45,-0.3054916655363218,-0.18436388173649837
Tissue,tissue_level_1,jejunum,1,GC B Dark Zone (GC B DZ),45,-0.7850784194511996,-1.691207473609288
Tissue,tissue_level_1,jejunum,1,GC B Light Zone (GC B LZ),45,-0.7362512066215058,-1.378292762520602
Tissue,tissue_level_1,jejunum,1,Memory B,45,0.9791173948940732,-0.630298585001351
Tissue,tissue_level_1,jejunum,1,Naive B,45,0.2546592965087334,-0.7162567236246542
Tissue,tissue_level_1,jejunum,1,CD4 Tfh,45,0.4623192767599212,-0.6869966663719524
Tissue,tissue_level_1,jejunum,1,CD4 Th17,45,4.357235052184412,1.6281223769337219
Tissue,tissue_level_1,jejunum,1,CD4 Tr1,45,0.04592572148690899,-0.09772096052745337
Tissue,tissue_level_1,jejunum,1,CD4 Tfr,45,-0.5840026526772003,-1.231385400027027
Tissue,tissue_level_1,jejunum,1,CD4 pTreg,45,0.6525094737685833,0.10917210388573863
Tissue,tissue_level_1,jejunum,1,CD4 tTreg,45,0.3897229761005922,-0.49611816693152017
Tissue,tissue_level_1,jejunum,1,CD4 Naive,45,0.1450439286592245,-0.5925546793543718
