hgca_celltype_v1,n_cells,n_datasets,n_samples,n_donors,n_tissues,n_author_labels,author_v0_exact_fraction,author_level1_match_fraction,author_level2_match_fraction,author_level3_match_fraction,author_level4_match_fraction,author_level5_match_fraction,atlas_increased_resolution_fraction,atlas_same_resolution_fraction,atlas_reduced_resolution_fraction,atlas_changed_branch_fraction,author_taxonomy_mapped_fraction,cell_fraction,rare_lt_0_1pct,one_dataset_only,Disease/case,Health/control,Other/unknown,hgca_celltype_level1,taxonomy_order,lodo_f1,lodo_f1_support,lodo_f1_std,lodo_f1_n_folds,lodo_run
CD4 Tr1,5,2,3,3,2,3,0.0,1.0,1.0,0.2,,,0.2,0.0,0.0,0.8,1.0,0.0015698587127158557,False,False,1,1,0,Lymphoid,110,,,,,
CD4 Tfr,12,7,9,9,2,8,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.0037676609105180532,False,False,1,1,1,Lymphoid,112,,,,,
CD4 pTreg,21,7,10,10,3,7,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.006593406593406593,False,False,1,1,1,Lymphoid,113,,,,,
CD4 tTreg,17,7,11,11,4,6,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,1.0,0.005337519623233909,False,False,1,1,1,Lymphoid,114,,,,,
CD4 Naive,62,7,11,11,4,7,0.0,1.0,0.967741935483871,0.9354838709677419,,,0.9354838709677419,0.0,0.0,0.06451612903225806,1.0,0.01946624803767661,False,False,1,1,1,Lymphoid,115,,,,,
CD4 Memory,122,11,23,22,3,15,0.0,1.0,1.0,0.9754098360655737,,,0.9754098360655737,0.0,0.0,0.02459016393442623,1.0,0.038304552590266876,False,False,1,1,1,Lymphoid,116,,,,,
CD8 Effector Memory,67,9,14,14,4,12,0.0,1.0,0.417910447761194,0.373134328358209,,,0.373134328358209,0.0,0.0,0.6268656716417911,1.0,0.021036106750392466,False,False,1,1,1,Lymphoid,118,,,,,
CD8 Circulating Effector Memory,45,8,19,18,4,10,0.0,1.0,0.9777777777777777,0.9555555555555556,,,0.9555555555555556,0.0,0.0,0.044444444444444446,1.0,0.0141287284144427,False,False,1,1,1,Lymphoid,119,,,,,
CD8 Memory Exhausted,19,4,4,4,3,11,0.0,1.0,0.5263157894736842,0.47368421052631576,,,0.47368421052631576,0.0,0.0,0.5263157894736842,1.0,0.005965463108320251,False,False,1,1,1,Lymphoid,120,,,,,
CD8 TRM,308,11,34,32,4,16,0.08116883116883117,1.0,1.0,0.9642857142857143,,,0.9642857142857143,0.0,0.0,0.03571428571428571,1.0,0.0967032967032967,False,False,1,1,1,Lymphoid,121,,,,,
