context,n_samples,n_pos,detection_rate,celltype,short_name,strata,radial_layer,segment
,25,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI_LP,ileum
,8,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI_LP_MUSC,ileum
,22,1,0.045454545454545456,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,LP,ileum
,7,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,WM,ileum
,2,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI,jejunum
,1,False,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,EPI_LP_MUSC,jejunum
,6,0,0.0,Follicle Associated Resident Macrophages,FARM,segment×radial_layer,LP,jejunum
full_thickness,19,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),depth,,
not_full_thickness,109,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),depth,,
,28,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),radial_layer,EPI,
,36,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),radial_layer,EPI_LP,
,19,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),radial_layer,EPI_LP_MUSC,
,33,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),radial_layer,LP,
,12,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),radial_layer,WM,
,42,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment,,colon
,6,False,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment,,duodenum
,71,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment,,ileum
,9,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment,,jejunum
full_thickness,8,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×depth,,colon
not_full_thickness,34,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×depth,,colon
full_thickness,2,False,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×depth,,duodenum
not_full_thickness,4,0,0.0,Follicular Dendritic Cells (fDC),Follicular Dendritic Cells (fDC),segment×depth,,duodenum
