celltype,short_name,role,dataset_id,inference,n_A,n_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets_both_arms,n_datasets_total,is_pooled,arm_mean_CLR,arm_present
CD8 IEL,CD8 IEL,negative_control,Krzak2023,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.32829813465141644,rest
CD8 IEL,CD8 IEL,negative_control,Lee2020,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.9048551636416052,rest
CD8 IEL,CD8 IEL,negative_control,Luoma2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,0.695301610042915,rest
CD8 IEL,CD8 IEL,negative_control,Martin2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,0.1336103656950129,rest
CD8 IEL,CD8 IEL,negative_control,Wells2025,one-arm (no within-study contrast),1,0,,,,,0,1,False,1.7050675835367786,rest
CD8 IEL,CD8 IEL,negative_control,Wells2025_2,one-arm (no within-study contrast),4,0,,,,,0,1,False,1.5642951501253006,rest
CD8 IEL,CD8 IEL,negative_control,Zheng2024,one-arm (no within-study contrast),2,0,,,,,0,1,False,0.2722103190991729,rest
Homeostatic Macrophages,Homeostatic mac.,negative_control,ALL (pooled),between-study,31,8,0.08277409732187474,-0.14924476304135348,0.3728034311089708,0.773262288967739,0,14,True,,
Homeostatic Macrophages,Homeostatic mac.,negative_control,ArendsHelmsley,one-arm (no within-study contrast),0,3,,,,,0,1,False,-0.09695750729494901,full
Homeostatic Macrophages,Homeostatic mac.,negative_control,BasuHelmsley,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.1017923857948838,rest
Homeostatic Macrophages,Homeostatic mac.,negative_control,Elmentaite2020,one-arm (no within-study contrast),0,3,,,,,0,1,False,0.28689862768582114,full
Homeostatic Macrophages,Homeostatic mac.,negative_control,He2020,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.0686632680417576,full
Homeostatic Macrophages,Homeostatic mac.,negative_control,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0686632680417576,rest
Homeostatic Macrophages,Homeostatic mac.,negative_control,James2020_3p,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.0686632680417576,full
Homeostatic Macrophages,Homeostatic mac.,negative_control,Kong2023_v2,one-arm (no within-study contrast),3,0,,,,,0,1,False,-0.1144387800695954,rest
Homeostatic Macrophages,Homeostatic mac.,negative_control,Kong2023_v3,one-arm (no within-study contrast),8,0,,,,,0,1,False,-0.017918974851344083,rest
Homeostatic Macrophages,Homeostatic mac.,negative_control,Krzak2023,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.0686632680417576,rest
Homeostatic Macrophages,Homeostatic mac.,negative_control,Lee2020,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.407169543179533,rest
