celltype,short_name,role,unit,exclude_datasets,min_sample_cells,min_ct_cells,n_ids_A,n_ids_B,mean_CLR_A,mean_CLR_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets,id_col,left_out,analysis,delta_all,delta_shift,same_sign
Tuft Progenitors,Tuft progenitors,featured,sample,He2020,,,70,17,-0.011175114722479267,-0.09728411346556329,-0.08610899874308402,-0.2859813184013487,0.1557583521954619,0.013652558439160772,15,sample_id,He2020,lodo,-0.08610899874308402,0.0,True
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,He2020,,,70,17,0.07218259005777225,0.2246964897124307,0.15251389965465845,-0.24505356385239155,0.6001040442292266,0.526811668941976,15,sample_id,He2020,lodo,0.15251389965465845,0.0,True
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,He2020,,,70,17,0.1198551589797491,0.3011996445554728,0.18134448557572372,-0.23956151269757495,0.6857531401201392,0.563804472090611,15,sample_id,He2020,lodo,0.18134448557572372,0.0,True
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,He2020,,,21,9,0.28353869438494755,0.2755658116231265,-0.007972882761821065,-0.7632797207863631,0.8229089958579929,0.5156983940653587,9,sample_id,He2020,lodo,-0.007972882761821065,0.0,True
Goblet Cells,Goblet cells,negative_control,sample,He2020,,,70,17,0.35480252450346056,0.09206152329138968,-0.2627410012120709,-0.6760563316979965,0.26465097407739213,0.00271465278783155,15,sample_id,He2020,lodo,-0.2627410012120709,0.0,True
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,He2020,,,70,17,0.27713530196713054,-0.08547995490896622,-0.36261525687609675,-0.68213573838832,0.02049478456651056,0.00013480786442301957,15,sample_id,He2020,lodo,-0.36261525687609675,0.0,True
CD8 IEL,CD8 IEL,negative_control,sample,He2020,,,36,11,0.5135453603191954,0.7772343645751548,0.2636890042559594,-0.5172139835858977,1.0143330654343206,0.6241149561615238,16,sample_id,He2020,lodo,0.2636890042559594,0.0,True
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,He2020,,,31,7,-0.02871199418573709,0.0715942990186941,0.10030629320443119,-0.16184604994811308,0.4488276436751022,0.8687160509736804,13,sample_id,He2020,lodo,0.08277409732187474,0.017532195882556445,True
Paneth Cells,Paneth cells,negative_control,sample,He2020,,,70,17,0.0009291404259093561,-0.22653261801475266,-0.22746175844066202,-0.36717678324141284,-0.10139192592892166,0.007858905395042054,15,sample_id,He2020,lodo,-0.22746175844066202,0.0,True
CD4 Tfr,Tfr,featured,sample,Huang2019,,,35,11,-0.34091442837429936,-0.4430808599873679,-0.10216643161306854,-0.3905318088943165,0.1655278469239754,0.5030772226625932,15,sample_id,Huang2019,lodo,-0.08272730242480325,-0.01943912918826529,True
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,Huang2019,,,21,9,-0.0753357788724102,0.041974052121634936,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,9,sample_id,Huang2019,lodo,0.11730983099404514,0.0,True
Follicle Associated Resident Macrophages,FARM,featured,sample,Huang2019,,,30,8,0.19234217267641893,-0.0832644329473761,-0.275606605623795,-0.5114830940231121,-0.0699428179571854,0.519332009724905,13,sample_id,Huang2019,lodo,-0.26718707527804736,-0.008419530345747661,True
