sample_id,donor_id,dataset_id,segment,radial_layer,context,collection,sample_total_cells,detect_GC,n_support,detect_fDC,detect_Tfh,detect_Tfr,niche_primary,niche_strict,niche_loose
Human_colon_16S8000489,A34_417C,Elmentaite2020,jejunum,EPI_LP_MUSC,full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Human_colon_16S8000493,A34_417C,Elmentaite2020,ileum,EPI_LP_MUSC,full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Human_colon_16S8000511,A32_411C,Elmentaite2020,colon,EPI_LP_MUSC,full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Human_colon_16S8000513,A32_411C,Elmentaite2020,ileum,EPI_LP_MUSC,full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Human_colon_16S8000515,A32_411C,Elmentaite2020,ileum,EPI_LP_MUSC,full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Human_colon_16S8001865,A32_411C,Elmentaite2020,colon,EPI_LP_MUSC,full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Human_colon_16S8001869,A34_417C,Elmentaite2020,colon,EPI_LP_MUSC,full_thickness,surgical resection,60.0,True,0,False,False,False,False,False,True
Human_colon_16S8001878,A34_417C,Elmentaite2020,duodenum,EPI_LP_MUSC,full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Human_colon_16S8001879,A34_417C,Elmentaite2020,duodenum,EPI_LP_MUSC,full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
Human_colon_16S8001883,A34_417C,Elmentaite2020,ileum,EPI_LP_MUSC,full_thickness,surgical resection,60.0,False,0,False,False,False,False,False,False
Human_colon_16S8002629,A38_432C,Elmentaite2020,colon,EPI_LP_MUSC,full_thickness,surgical resection,12.0,False,0,False,False,False,False,False,False
N109389_L3,109389,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N119540_L2,119540,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,61.0,True,1,False,True,False,True,False,True
N125985_L2,125985,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
N130064_N1,130064,Kong2023_v2,ileum,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N134300_L,134300,Kong2023_v2,ileum,LP,not_full_thickness,biopsy,2.0,False,0,False,False,False,False,False,False
N148519_E1,148519,Kong2023_v3,ileum,EPI,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N148824_E1,148824,Kong2023_v3,ileum,EPI,not_full_thickness,biopsy,10.0,False,0,False,False,False,False,False,False
N165697_E2,165697,Kong2023_v3,ileum,EPI,not_full_thickness,biopsy,60.0,False,0,False,False,False,False,False,False
N168051_E1,168051,Kong2023_v3,ileum,EPI,not_full_thickness,biopsy,60.0,False,0,False,False,False,False,False,False
N168051_L1,168051,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,61.0,False,0,False,False,False,False,False,False
N168051_L2,168051,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N171336_L1,171336,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,60.0,False,0,False,False,False,False,False,False
N171336_L2,171336,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N172428_E2,172428,Kong2023_v3,ileum,EPI,not_full_thickness,biopsy,60.0,True,0,False,False,False,False,False,True
N174364_L2,174364,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N191305_L1,191305,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
N192985_L,192985,Kong2023_v3,ileum,LP,not_full_thickness,biopsy,12.0,False,0,False,False,False,False,False,False
NC1_CD45,NC1,Luoma2020,colon,EPI_LP,not_full_thickness,biopsy,60.0,True,0,False,False,False,False,False,True
NC2_CD45,NC2,Luoma2020,colon,EPI_LP,not_full_thickness,biopsy,1.0,False,0,False,False,False,False,False,False
Pan_T7935488,A29_390C,James2020_5p,colon,EPI_LP_MUSC,full_thickness,surgical resection,1.0,False,0,False,False,False,False,False,False
