context,n_samples,n_pos,capture_rate,rule,strata,radial_layer,segment,dataset_id,collection
,4,1,0.25,niche_loose,collection×radial_layer,EPI_LP,,,surgical resection
,19,1,0.05263157894736842,niche_loose,collection×radial_layer,EPI_LP_MUSC,,,surgical resection
,8,0,0.0,niche_loose,collection×radial_layer,LP,,,surgical resection
,3,0,0.0,niche_loose,dataset×radial_layer,EPI_LP_MUSC,,ArendsHelmsley,
,12,0,0.0,niche_loose,dataset×radial_layer,WM,,BasuHelmsley,
,4,0,0.0,niche_loose,dataset×radial_layer,EPI,,Burclaff2022,
,1,0,0.0,niche_loose,dataset×radial_layer,EPI_LP_MUSC,,Dominguez2022,
,3,0,0.0,niche_loose,dataset×radial_layer,EPI_LP,,Elmentaite2020,
,12,1,0.08333333333333333,niche_loose,dataset×radial_layer,EPI_LP_MUSC,,Elmentaite2020,
,9,1,0.1111111111111111,niche_loose,dataset×radial_layer,EPI,,HamiltonHelmsley,
,5,2,0.4,niche_loose,dataset×radial_layer,LP,,HamiltonHelmsley,
,1,0,0.0,niche_loose,dataset×radial_layer,EPI_LP_MUSC,,He2020,
,2,1,0.5,niche_loose,dataset×radial_layer,EPI_LP,,Huang2019,
,2,0,0.0,niche_loose,dataset×radial_layer,LP,,Jaeger2021,
,1,0,0.0,niche_loose,dataset×radial_layer,EPI_LP_MUSC,,James2020_3p,
,1,0,0.0,niche_loose,dataset×radial_layer,EPI_LP_MUSC,,James2020_5p,
,2,0,0.0,niche_loose,dataset×radial_layer,EPI_LP,,Kinchen2018,
,5,1,0.2,niche_loose,dataset×radial_layer,EPI_LP,,Kong2023_v2,
,1,0,0.0,niche_loose,dataset×radial_layer,LP,,Kong2023_v2,
,9,1,0.1111111111111111,niche_loose,dataset×radial_layer,EPI,,Kong2023_v3,
,17,1,0.058823529411764705,niche_loose,dataset×radial_layer,LP,,Kong2023_v3,
,15,3,0.2,niche_loose,dataset×radial_layer,EPI_LP,,Krzak2023,
,2,1,0.5,niche_loose,dataset×radial_layer,EPI_LP,,Lee2020,
,3,2,0.6666666666666666,niche_loose,dataset×radial_layer,EPI_LP,,Luoma2020,
,2,0,0.0,niche_loose,dataset×radial_layer,EPI_LP,,Martin2019,
,4,0,0.0,niche_loose,dataset×radial_layer,EPI,,Wang2020,
,1,0,0.0,niche_loose,dataset×radial_layer,LP,,Wells2025,
,2,0,0.0,niche_loose,dataset×radial_layer,EPI,,Wells2025_2,
,5,0,0.0,niche_loose,dataset×radial_layer,LP,,Wells2025_2,
