celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Marginal Reticular Cells (MRC),stroma,True,47,32,-0.7035552748856115,-0.6374644738483958,0.06609080103721576,0.6140287407736815,0.6871274003895961,0.16296273287266,inferential
Venular Endothelial,stroma,False,47,32,0.7361679744078015,0.733209627458833,-0.00295834694896846,0.6495428886481602,0.7168633089916562,0.1445636474145538,inferential
CD8 IEL,lymphoid,False,105,40,1.5273529980283502,1.4845251300900995,-0.042827867938250774,0.6630265808778864,0.7168633089916562,0.1445636474145538,inferential
Cycling Macrophages,myeloid,False,72,35,-0.04789742308161119,-0.027043892139346517,0.020853530942264675,0.6634798710880222,0.7168633089916562,0.1445636474145538,inferential
Lower Villus Enterocytes,epithelial,False,85,32,-0.8502141258294624,-0.8689245772727998,-0.018710451443337384,0.6932927136916299,0.740562671443332,0.13043818263865478,inferential
CD4 Tr1,lymphoid,False,105,40,-0.8536064810482819,-0.8991827660710123,-0.04557628502273048,0.7085486610788831,0.7483547656338766,0.1258924713448106,inferential
Lower Crypt Colonocytes,epithelial,False,85,32,2.777283940826194,2.9599663091943444,0.18268236836815044,0.7714780284917935,0.8057659408692065,0.0937910938664479,inferential
CD4 Naive,lymphoid,False,105,40,0.12032998612857802,0.04980190807346182,-0.07052807805511621,0.7855758987076511,0.8114740052584528,0.09072538779539846,inferential
Microfold Cells (M Cells),epithelial,False,85,32,-0.8769050878034608,-0.8472637278803015,0.029641359923159305,0.8712771653057736,0.8902179732472035,0.050503641683147374,inferential
Follicle Associated Resident Macrophages,myeloid,True,72,35,-0.39339954606467537,-0.4184088570318721,-0.02500931096719672,0.8864297794074705,0.8959612824118518,0.0477107573001446,inferential
Memory B,lymphoid,False,105,40,0.916379901497221,1.0500453673629824,0.13366546586576133,0.899671308166202,0.899671308166202,0.045916129586151204,inferential
