hgca_celltype_level1,hgca_celltype_level2,hgca_celltype_level3,hgca_celltype_level4,hgca_celltype_level5,hgca_celltype_v1,hgca_celltype_v0,Markers,Negative markers (careful if QC differences change presence),Comments,"please add 👍 if you agree with the cell type label and marker genes, otherwise add comment","""True"" if disagreement, here we track if we had any disagreement on the labels, because it may help point us to interesting areas for analysis",Other names for the same thing,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,cell_ontology_fillins
Epithelial,Proliferative Epithelial,Transiently Amplifying Cells (TA),,,Transiently Amplifying Cells (TA),Transiently Amplifying Cells (TA),"MCM5, TOP2A, CCNA2, PCLAF, HELLS, PCNA, MKI67",,"VG: I'd suggest separating ""cycling"" (TOP2A, PCLAF, MKI67) and ""TA"" (OLFM4, LEFTY1, PARD6B).
RZ: In some papers, TAs are further grouped to secretory TA (ATOH1, TFF3, CLCA1 + cycling markers), absorptive TA (NOTCH1 + cycling markers), cycling TA.  AA: I think TAs can be very hard to separate as there is a lot of overlap between cycling markers and most TAs captured tend to lean towards absorptive. It would be great to separate absorptive and secretory lineages, but from a practical point of view, not sure how well the integrated data will support this. I think this needs a group discussion",,,,CL:4047017,transit amplifying cell of gut,UBERON:0001555,digestive tract,Transit amplifying cell is very broad' CL should probably have one specific to the gut https://github.com/obophenotype/cell-ontology/issues/2563,CL:4047017
Epithelial,Proliferative Epithelial,Transiently Amplifying Cells (TA),Secretory Progenitors,,Secretory Progenitors,Secretory TA,"ATOH1, TFF3, CLCA1, HEPACAM2, ANXA13, PHLDA2, KLK1",,Synonym: secretory progenitor ,,,,CL:1100001,secretory progenitor cell,UBERON:0001555,digestive tract,,CL:4047019
Stromal,,,,,Stromal,Stromal,,,,👍,,,CL:0000499,stromal cell,UBERON:0001986,endothelium ,Update uberon to stroma,CL:0000499
Stromal,Endothelial,,,,Endothelial,Endothelial,"PECAM1, CDH5, PLVAP",,,👍👍👍,,,CL:0000115,endothelial cell,UBERON:0001986,endothelium ,,CL:0000115
Stromal,Endothelial,Arteriolar Endothelial,,,Arteriolar Endothelial,Endothelial Arteriolar,"PLVAP, TM4SF1, SEMA3G, MGP, IGFBP4",,,👍,,,CL:1000413,endothelial cell of artery,UBERON:0001917,endothelium of artery ,,CL:1000413
Stromal,Endothelial,Capillary Endothelial,,,Capillary Endothelial,Endothelial Capillary,"CD36, CLDN5, RAMP2, FLT1, IGFBP7",,,,,,CL:0002144,capillary endothelial cell,UBERON:0001915,endothelium of capillary ,I think we need specific terms for the specialised fenestrated cappillary cells of the gut.,CL:0002144
Stromal,Endothelial,Capillary Endothelial,Post arteriole capillary (PAC),,Post Arteriole Capillary Endothelial (PAC),Endothelial Post arteriole capillary (PAC),"RGCC,FCN3",,RZ-added,,,,CL:4047029,post-arteriole capillary cell,UBERON:0001982,capillary ,https://github.com/obophenotype/cell-ontology/issues/2726,CL:4047029
Stromal,Endothelial,Capillary Endothelial,Pre venule capillary (PVC),,Pre Venule Capillary Endothelial (PVC),Endothelial Pre venule capillary (PVC),"LITAF, ICAM1",,RZ-added,,,,CL:4047030,pre-venule capillary cell,UBERON:0001982,capillary ,https://github.com/obophenotype/cell-ontology/issues/2737,CL:4047030
Stromal,Endothelial,Venular Endothelial,,,Venular Endothelial,Endothelial Venular,"ACKR1, VWF, SELP, MADCAM1, ADGRG6",,,👍,,,CL:0002543,vein endothelial cell,UBERON:0001638,vein ,Uberon to be upated to more specific term,CL:0002543
Stromal,Endothelial,Lymphatic Endothelial,,,Lymphatic Endothelial,Endothelial Lymphatic,"LYVE1, PROX1,MMRN1, MRC1",,,👍,,,CL:0002138,endothelial cell of lymphatic vessel,UBERON:0001473,lymphatic vessel ,,CL:0002138
Stromal,Endothelial,Lymphatic Endothelial,Ceiling Sinus Endothelial,,Ceiling Sinus Endothelial,,,,,,,,,,,,,
Stromal,Endothelial,Lymphatic Endothelial,Medullary Sinus Endothelial,,Medullary Sinus Endothelial,,,,,,,,,,,,,
Stromal,Endothelial,Lymphatic Endothelial,Lacteal Endothelial,,Lacteal Endothelial,Endothelial Lacteals,,,,,,,CL:0002138,endothelial cell of lymphatic vessel,UBERON:0001473,lymphatic vessel ,,CL:0002138
Stromal,Mesothelial,,,,Mesothelial,Mesothelial,"WT1, MSLN",,,👍,,,CL:0000077,mesothelial cell,UBERON:0001136,mesothelium ,There are more specific terms per area of gut available e.g. mesothelial cell of small intestine,CL:0000077
Stromal,Fibroblasts,,,,Fibroblasts,Fibroblasts,"ADAMDEC1, FABP4, WNT5A, WNT5B, WNT2, LUM, COL3A1, CXCL6, CXCL14, FBLN1",,"VG: how do you feel about using the S1, S2 and S3 nomenclature? from Kinchen et al (doi: 10.1016/j.cell.2019.06.029.).    RZ: Use markers instead? e.g. S FAP+
JC: Lots of subsets here that are likely synonyms - need to collapse down AA: I agree about collapsing down and using synonyms as a lot of duplicated info here - also, a lot of duplicated info in literature with papers often referring to the same thing by a different name. I think this needs group discussion. I would be very in favour of using S1/2/3/4 nomenclature (but I am very biased!), with a heavy use of synonyms.",,,,CL:0000057,fibroblast,UBERON:0002384,connective tissue,,CL:0000057
Stromal,Fibroblasts,Subepithelial fibroblasts (S2),,,Subepithelial Fibroblasts (S2),Fibroblasts Subepithelial (S2),"PDGFRA, BMP4, F3, NPY, CD34, TRPA1, SOX6, WNT5A, POSTN",,"AA - suggestion: split into colonic and intestinal variants as quite different based on location? 
VG: Also refered to as S2 fibroblasts. Depending on the annotation level, we can also split by top (S2b - NRG1, NPY) and bottom (S2a - VSTM2A) fibroblasts",,True,,CL:4052007,subepithelial intestinal fibroblast,UBERON:0001242,intestinal mucosa,,CL:4052007
Stromal,Fibroblasts,Subepithelial fibroblasts (S2),Crypt Top (S2B),,Crypt Top Fibroblasts (S2B),Fibroblasts Crypt Top (S2B),"NRG1, NPY",,,,,,CL:4052009,crypt-top fibroblast,UBERON:0003104,mesenchyme,,CL:4052009
Stromal,Fibroblasts,Subepithelial fibroblasts (S2),Crypt Bottom (S2A),,Crypt Bottom Fibroblasts (S2A),Fibroblasts Crypt Bottom (S2A),VSTM2A,,,,,,CL:4052008,crypt-bottom fibroblast,UBERON:0013739,base of crypt of Lieberkuhn,,CL:4052008
Stromal,Fibroblasts,Lamina propria fibroblasts (S1),,,Lamina propria Fibroblasts (S1),Fibroblasts Lamina propria (S1),"ADAMDEC1,ABCA8, FABP4",,,,True,,CL:4047023,lamina propria fibroblast ,UBERON:0000030,laminin propria,https://github.com/obophenotype/cell-ontology/issues/2589,CL:4047023
Stromal,Fibroblasts,Submucosal Fibroblasts (Crypt Support/Trophocytes/S3),,,Submucosal Fibroblasts (S3),Fibroblasts Submucosal (aka Crypt Support/Trophocytes/S3),"GREM1,C7, OLFM4, PTGS2, THY1, SEMA3A, GLI1",,"VG: OLFM4, epithelial (and neutrophil) marker mostly. Not sure what type of fibroblast is this one.",,True,,,submucosal fibroblast,TBC,,New term needed? How does this relate to crypt support base cell? - See above.,CL:4052008
Stromal,Fibroblasts,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),,,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Fibroblasts mLTo Cells (mesenchymal lymphoid tissue organizer cells),,,Subtype of S1/S2/S3?,,,,,mesenchymal lymphoid tissue organizer cells,UBERON:0003104,mesenchyme,New term needed?,CL:0000134
Stromal,Fibroblasts,Fibroblastic reticular cells (FRC),,,Fibroblastic Reticular Cells (FRC),Fibroblastic reticular cells,"CCL19, CCL21, TNFSF13B, CXCL13",,"VG: Alternative annotation name, ""fibroblastic reticular cells""? (FRCs)
JC: Agree with FRC name, but would note that if CXCL13+, probably better to call an fDC
(previous name: Immune Organizing Fibroblast (mLN stroma))",,,,CL:0009101,intestinal fibroblastic reticular cell ,UBERON:0001744,lymphoid tissue,https://github.com/obophenotype/cell-ontology/issues/2578,CL:0009101
Stromal,Fibroblasts,Fibroblastic reticular cells (FRC),Marginal Reticular Cells (MRC),,Marginal Reticular Cells (MRC),,"TNFSF11, CXCL14",,,,,,,,,,,
Stromal,Fibroblasts,Follicular Dendritic Cells (fDC),,,Follicular Dendritic Cells (fDC),Fibroblasts Follicular Dendritic Cells (fDC),"CR1, CR2",,"AA - moved folDCs to myeloid from stroma
JC - Despite the name, fDCs are mesenchymal, not immune. Also defined by CXCL13 and TNFSF13B                                                                                                                                        KK - moved back to Fibroblasts",,,,CL:0000442,follicular dendritic cell ,UBERON:0001744,lymphoid tissue,,CL:0000442
Stromal,Fibroblasts,Subserosal Fibroblasts,,,Subserosal Fibroblasts,Fibroblasts Subserosal,"DPT, C7, POSTN",,"AA - added, needs a better name.  These are stromal 3, but in deeper layers and mesentery.",,,,CL:4052005,Intestinal Subserosal Fibroblasts,UBERON:0012375,subserosa,Add new term: subserosal fibroblast https://github.com/obophenotype/cell-ontology/issues/2576,CL:4052005
Stromal,Fibroblasts,Muscularis Propria Fibroblasts,,,Muscularis Propria Fibroblasts,Fibroblasts Muscularis Propria,"DPT, C7, KCNN3, CA8, PLCB4",,"AA - added, needs a better name.  These are stromal 3, but in muscle layer",,,,,,UBERON:0006660,muscular coat ,"Add new term: Muscularis Propria Fibroblast
Parent term: muscle fibroblast CL_1001609",CL:1001609
Stromal,Fibroblasts,Myofibroblasts,,,Myofibroblasts,Fibroblasts Myofibroblasts,"ACTA2, TAGLN,DCN",,VG: RSPO3 not a marker,,,,CL:0000186,myofibroblast cell,UBERON:0002384,connective tissue,,CL:0000186
Stromal,Fibroblasts,Interstitial Cells of Cajal (ICC),,,Interstitial Cells of Cajal (ICC),Fibroblasts Interstitial Cells of Cajal (ICC),"KIT, ETV1,ANO1",,AA- Should ICCs be moved together with muscle but as a separate mesenchymal lineage at that level? I think that's more appropriate as they are not fibroblasts and have a distinct origin,,,,CL:0002088,interstitial cell of Cajal,UBERON:0000483,epithelium,Def of CL term looks OK but more work needed on classification (is it a fibroblast?) and relationships (nothing recording location).  See also https://cellxgene.cziscience.com/cellguide/CL_0002088 Update uberon term,CL:0002088
