Disease,predicted_Prelim_annotation,n,mean,median,std,p10,p25,p75,p90
CD,EEC Progenitor,312,0.7582766906215022,0.6845380663871765,0.5095295315606339,0.16504681259393691,0.31906696408987045,1.0903564393520355,1.4496597290039062
CD,SMC Outer Muscle Cells,296,0.557533881677365,0.5727014541625977,0.3584927674992981,0.13413934409618378,0.26635171473026276,0.7413718551397324,0.9123454391956329
CD,"DC Monocyte derived dendritic cell
(MO DC)",251,0.8065138732220428,0.7972055077552795,0.5319633630843456,0.14190056920051575,0.33913901448249817,1.19607275724411,1.567774772644043
CD,CD8 Memory/Exhausted,182,0.8821446388796136,0.7528462111949921,0.47770296204921076,0.3307328909635544,0.5364413410425186,1.1937370896339417,1.6299929141998293
CD,T NKT,178,0.5826992455325769,0.47849926352500916,0.42720978020647454,0.11661361679434776,0.24726063385605812,0.823530301451683,1.1861523509025576
CD,Fibroblasts Myofibroblasts,150,0.7237558608688414,0.7436805963516235,0.43709623134345077,0.13078074678778648,0.34387780725955963,1.0213346481323242,1.3033121705055237
CD,EEC N Cells,111,0.7323661106848368,0.7258391976356506,0.6032085380831949,0.05923360586166382,0.177311509847641,1.0270803570747375,1.6148983240127563
CD,vascular endothelial Capillary,106,0.933825218241732,0.8721012473106384,0.3590084426114378,0.5087316781282425,0.7232813537120819,1.1843729317188263,1.4048770070075989
CD,Enteroendocrine Cells (EEC),99,1.4631289595907384,1.3780043125152588,0.5416725907337774,0.839427363872528,1.015490084886551,1.84959214925766,2.2487792491912844
CD,Fibroblasts Submucosal (aka Crypt Support/Trophocytes/S3),84,1.1927334309688635,1.154154360294342,0.491843980963196,0.683490252494812,0.8714945465326309,1.5762926638126373,1.8398027539253234
CD,GC B Germinal Center,79,1.7252839298187932,1.686882734298706,0.4058499020808923,1.2540629148483278,1.454200804233551,1.9171903729438782,2.2757260322570803
CD,lowQ,72,1.4947623614635732,1.5901663899421692,0.46546755466647766,0.7895382881164551,1.2642789483070374,1.815762460231781,1.9689236879348755
CD,Pericytes Secretory,70,0.8941887417009898,0.8499029278755188,0.317750534562046,0.5097548604011536,0.733854129910469,1.0532395839691162,1.2715798258781432
CD,EEC S Cells (SCT+),67,1.332591308586633,1.355987548828125,0.6639256955532992,0.41129475831985474,0.7657350897789001,1.963606595993042,2.137139892578125
