taxonomy_line,hgca_celltype_v1,level_depth,marker_source,cap_label_matched,metadata_csv_line,markers_final
82,Intra Ganglionic Glia,3,CAP feedback,Glia Intra-Ganglionic,,"APOE, FRZB, RLBP1, CRYM"
83,Myenteric Plexus Glia,4,CAP feedback,Glia Myenteric Plexus / Type I,,"TF, BCAN, CACLB, GJB1"
84,Submucosal Plexus Glia,4,CAP feedback,Glia Submucosal Plexus / Type I,,"ENTPD2, SFRP5, SOX10"
85,Extra Ganglionic Glia,3,CAP feedback,Glia Extra-Ganglionic,,"GFRA3, S100B, SOX10, PLP1"
86,Mucosal Glia,4,CAP feedback,Glia Mucosal/Type III,,"RELN, MBP, PLLP"
87,Muscularis propria Glia,4,CAP feedback,Glia Muscularis propria/Type IV,,"SLC5A7, APOD, KCNS3"
88,Smooth Muscle Cells (SMC),2,CAP feedback + metadata csv (line 90),Smooth Muscle Cells (SMC),90,"DES, TAGLN, MYH11, ACTG2"
89,Vascular SMCs (vSMC),3,inherited from ancestor 'Smooth Muscle Cells (SMC)',,,"DES, TAGLN, MYH11, ACTG2"
90,Outer SMCs,3,CAP feedback,SMC Outer Muscle Cells,,"FOXF2, TAGLN, MYH11, ACTG2"
91,Inner SMCs,3,CAP feedback,SMC Inner Muscle Cells,,"FOXF2, MORN5, ACTG2"
92,Adipocytes,2,metadata csv (line 4),,4,"PLIN1, LPL"
93,Lymphoid,1,children union,,,"MS4A1, CD79A, IGHD, IGLC2, IGKC, CD19, JCHAIN, IGHA, IGHE, IGHG, IGHM, CXCR4, BCL6, CD38, CD10, AICDA, RGS13, NEIL1, BCL7A, MKI67, BANK1, TNFRSF13C, CD83, CXCR5, CD69, SELL, CD27, HLA-DRA, CD80, CD86, TCL1A, FCRL4, ITGAX, FCRL5, FCRL1, CD1C, CR2, HMGB2, TUBA1A, TOP2A, TRAC, CD3D, CD3E, CD4, CD40LG, CXCL13, PDCD1, FOXP3, TBX21, IFNG, TNF, CXCR3, RORC, IL17A, IL22, IL21, CSF2, IL23R, CCR6, GATA3, IL4, IL10, IL13, TGFB, IL2RA, CTLA4, TIGIT, ICOS, IL1R1, IKZF2, CCR7, LEF1, IL7R, KLF2, S1PR5, IL32, MAF, CD45RO, CD8A, CD8B, IL2, GZMA, GZMK, GZMB, KLRG1, PRF1, FGFBP2, CX3CR1, GZMH, LAG3, HAVCR2, LAYN, BATF, TOX, ITGAE, ITGA1, RORA, CD160, KLRC2, KIR2DL4, NCR1, NCR2, NCR3, CD7, CD244, TCF7, TRGC1, TRDC, TRDV1, TRDV2, TRDV3, KLRK1, TRGC2, LGALS3, ZBTB16, TRAV1-2, TRAJ33, KLRB1, FCER1G, HOPX, TRAV24, STMN1, CTSW, KLRF1, KLRD1, KIT, GNLY, EOMES, NKG7, CRTH2, PTGDR2, HPGDS, IL1RL1, KRT1, KRT86"
94,B Cells,2,existing taxonomy Markers,,,"MS4A1, CD79A, IGHD, IGLC2, IGKC, CD19"
95,Plasma Cells,3,CAP feedback + metadata csv (line 83),Plasma Cells,83,JCHAIN
96,Plasma IGA,4,existing taxonomy Markers,Plasma IGA,,IGHA
97,Plasma IGE,4,existing taxonomy Markers,,,IGHE
98,Plasma IGG,4,existing taxonomy Markers,Plasma IGG,,IGHG
99,Plasma IGM,4,CAP feedback,Plasma IGM,,IGHM
100,Germinal Center B Cells (GC B),3,CAP feedback,GC B Germinal Center,,"CXCR4, BCL6, CD38, CD10"
