cell_state,plot_lineage,hgca_celltype_level1,hgca_celltype_level2,hgca_celltype_level3,qc_lineage
M0 Macrophages,Myeloid,Myeloid,Macrophages,Tissue Resident Macrophages,Myeloid
MAIT Cells,Lymphoid,Lymphoid,T Cells,Unconventional T Cells,Lymphoid
Marginal Reticular Cells (MRC),Stromal,Stromal,Fibroblasts,Fibroblastic reticular cells (FRC),Stromal
Mast Cells,Myeloid,Myeloid,Granulocytes,Mast Cells,Myeloid
Mature Goblet Cells,Epithelial,Epithelial,Secretory Epithelial,Goblet Cells,Epithelial
Medullary Sinus Endothelial,Endothelial,Stromal,Endothelial,Lymphatic Endothelial,Stromal
Memory B,Lymphoid,Lymphoid,B Cells,Memory B Cells,Lymphoid
Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Stromal,Stromal,Fibroblasts,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Stromal
Microfold Cells (M Cells),Epithelial,Epithelial,Follicle associated enterocyte (FAE),Microfold Cells (M Cells),Epithelial
Mid Crypt Colonocytes,Epithelial,Epithelial,Absorptive Epithelial,Colonocytes,Epithelial
Mid Villus Enterocytes,Epithelial,Epithelial,Absorptive Epithelial,Enterocytes,Epithelial
"Monocyte Derived Dendritic Cells
(MO DC)",Myeloid,Myeloid,Dendritic Cells,"Monocyte Derived Dendritic Cells
(MO DC)",Myeloid
Muscularis Propria Fibroblasts,Stromal,Stromal,Fibroblasts,Muscularis Propria Fibroblasts,Stromal
Myofibroblasts,Stromal,Stromal,Fibroblasts,Myofibroblasts,Stromal
NK Cells,Lymphoid,Lymphoid,Innate Lymphoid Cells (ILC),NK Cells,Lymphoid
NKT Cells,Lymphoid,Lymphoid,T Cells,Unconventional T Cells,Lymphoid
Naive B,Lymphoid,Lymphoid,B Cells,Naive B Cells,Lymphoid
Neutrophils,Myeloid,Myeloid,Granulocytes,Neutrophils,Epithelial
Nonclassical Monocytes,Myeloid,Myeloid,Monocytes,Nonclassical Monocytes,Myeloid
Paneth Cells,Epithelial,Epithelial,Secretory Epithelial,Paneth Cells,Epithelial
Perivascular Resident Macrophages,Myeloid,Myeloid,Macrophages,Tissue Resident Macrophages,Myeloid
Plasma Cells,Lymphoid,Lymphoid,B Cells,Plasma Cells,Lymphoid
Plasma IGA,Lymphoid,Lymphoid,B Cells,Plasma Cells,Lymphoid
Plasma IGG,Lymphoid,Lymphoid,B Cells,Plasma Cells,Lymphoid
Post Arteriole Capillary Endothelial (PAC),Endothelial,Stromal,Endothelial,Capillary Endothelial,Stromal
Pre Venule Capillary Endothelial (PVC),Endothelial,Stromal,Endothelial,Capillary Endothelial,Stromal
Secretory Pericytes,Stromal,Stromal,Pericytes,Secretory Pericyte,Stromal
Secretory Progenitors,Epithelial,Epithelial,Proliferative Epithelial,Transiently Amplifying Cells (TA),Epithelial
Smooth Muscle Cells (SMC),Stromal,Stromal,Smooth Muscle Cells (SMC),nan,Stromal
Submucosal Fibroblasts (S3),Stromal,Stromal,Fibroblasts,Submucosal Fibroblasts (Crypt Support/Trophocytes/S3),Stromal
Tolerogenic cDC2,Myeloid,Myeloid,Dendritic Cells,Conventional Dendritic Cells Type 2 (cDC2),Myeloid
Transiently Amplifying Cells (TA),Epithelial,Epithelial,Proliferative Epithelial,Transiently Amplifying Cells (TA),Epithelial
Tuft Cells,Epithelial,Epithelial,Secretory Epithelial,Tuft Cells,Epithelial
Tuft Progenitors,Epithelial,Epithelial,Secretory Epithelial,Tuft Cells,Epithelial
Venular Endothelial,Endothelial,Stromal,Endothelial,Venular Endothelial,Stromal
Villus Tip Enterocytes,Epithelial,Epithelial,Absorptive Epithelial,Enterocytes,Epithelial
cDC1,Myeloid,Myeloid,Dendritic Cells,Conventional Dendritic Cells Type 1 (cDC1),Myeloid
cDC2,Myeloid,Myeloid,Dendritic Cells,Conventional Dendritic Cells Type 2 (cDC2),Myeloid
migDC,Myeloid,Myeloid,Dendritic Cells,Migratory Dendritic Cells (migDC),Myeloid
pDC,Myeloid,Myeloid,Dendritic Cells,Plasmacytoid Dendritic Cells (pDC),Lymphoid
